model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
LightGBM_r37_BAG_L1,-0.5337061287377546,-0.525499076910706,root_mean_squared_error,0.3827860355377197,0.1535627841949463,67.49697995185852,0.3827860355377197,0.1535627841949463,67.49697995185852,1,True,6
LightGBM_r37_BAG_L1_FULL,-0.5357562024231498,,root_mean_squared_error,0.046942949295043945,,6.267149209976196,0.046942949295043945,,6.267149209976196,1,True,17
WeightedEnsemble_L2,-0.5378777239678901,-0.5160206482379849,root_mean_squared_error,1.004525899887085,0.4136230945587158,254.92536973953247,0.0006690025329589844,8.797645568847656e-05,0.0018968582153320312,2,True,11
WeightedEnsemble_L2_FULL,-0.5387969821501561,,root_mean_squared_error,0.11937260627746582,,22.899081230163574,0.0006630420684814453,,0.0018968582153320312,2,True,22
LightGBMPrep_r21_BAG_L1,-0.5473678050386667,-0.5236437543102419,root_mean_squared_error,0.1562507152557373,0.05811953544616699,51.64677953720093,0.1562507152557373,0.05811953544616699,51.64677953720093,1,True,5
LightGBMPrep_r41_BAG_L1,-0.548640071361008,-0.5272469511543751,root_mean_squared_error,0.25916600227355957,0.12753558158874512,70.65213966369629,0.25916600227355957,0.12753558158874512,70.65213966369629,1,True,2
LightGBMPrep_r21_BAG_L1_FULL,-0.5496226069412591,,root_mean_squared_error,0.01688408851623535,,4.332455158233643,0.01688408851623535,,4.332455158233643,1,True,16
LightGBM_r73_BAG_L1,-0.5500614324579302,-0.5234232247967187,root_mean_squared_error,0.20565414428710938,0.07431721687316895,65.1275737285614,0.20565414428710938,0.07431721687316895,65.1275737285614,1,True,4
LightGBMPrep_r13_BAG_L1,-0.5503763803940055,-0.5325104177361067,root_mean_squared_error,0.1471240520477295,0.08265328407287598,39.506134271621704,0.1471240520477295,0.08265328407287598,39.506134271621704,1,True,1
LightGBM_r73_BAG_L1_FULL,-0.5505431733911024,,root_mean_squared_error,0.023733854293823242,,6.049872159957886,0.023733854293823242,,6.049872159957886,1,True,15
LightGBMPrep_r31_BAG_L1,-0.5512858566700782,-0.5323200436355795,root_mean_squared_error,0.0753331184387207,0.050806522369384766,30.652299880981445,0.0753331184387207,0.050806522369384766,30.652299880981445,1,True,3
LightGBMPrep_r41_BAG_L1_FULL,-0.5513339447252278,,root_mean_squared_error,0.031148672103881836,,6.247707843780518,0.031148672103881836,,6.247707843780518,1,True,13
LightGBM_r57_BAG_L1,-0.5522594090265635,-0.5502001632887312,root_mean_squared_error,0.12286996841430664,0.04755663871765137,35.737529277801514,0.12286996841430664,0.04755663871765137,35.737529277801514,1,True,9
LightGBM_r162_BAG_L1,-0.5558376744677697,-0.5289112213346225,root_mean_squared_error,0.06370091438293457,0.030262470245361328,35.91349458694458,0.06370091438293457,0.030262470245361328,35.91349458694458,1,True,8
LightGBM_r33_BAG_L1,-0.5572030676865696,-0.5323204599911453,root_mean_squared_error,0.12316107749938965,0.04732871055603027,85.92269921302795,0.12316107749938965,0.04732871055603027,85.92269921302795,1,True,10
LightGBM_r57_BAG_L1_FULL,-0.5577372330536055,,root_mean_squared_error,0.019207000732421875,,3.3283379077911377,0.019207000732421875,,3.3283379077911377,1,True,20
LightGBM_r162_BAG_L1_FULL,-0.5585591801275503,,root_mean_squared_error,0.013736963272094727,,2.9819579124450684,0.013736963272094727,,2.9819579124450684,1,True,19
LightGBMPrep_r13_BAG_L1_FULL,-0.5588126646531348,,root_mean_squared_error,0.0202181339263916,,3.6302902698516846,0.0202181339263916,,3.6302902698516846,1,True,12
LightGBMPrep_r31_BAG_L1_FULL,-0.5596040070847428,,root_mean_squared_error,0.010263919830322266,,2.0288140773773193,0.010263919830322266,,2.0288140773773193,1,True,14
LightGBMPrep_r17_BAG_L1,-0.5601155152935364,-0.5391136449500563,root_mean_squared_error,0.09889578819274902,0.06270623207092285,97.01754927635193,0.09889578819274902,0.06270623207092285,97.01754927635193,1,True,7
LightGBM_r33_BAG_L1_FULL,-0.5604777774934199,,root_mean_squared_error,0.016000986099243164,,7.369745254516602,0.016000986099243164,,7.369745254516602,1,True,21
LightGBMPrep_r17_BAG_L1_FULL,-0.5697765456107607,,root_mean_squared_error,0.014928102493286133,,5.2652270793914795,0.014928102493286133,,5.2652270793914795,1,True,18
